LATITUD,LONGITUD,DIA_SEMANA,HORA_CASO,DESCRIPCION_CONDUCTA
456080.049,658145.0746,6,12,9044
456489.6145,656538.9588,6,22,9042
457356.45,652101.0648,7,1,9044
457166.2832,651592.9253,7,3,9041
458496.1102,652825.1515,7,7,9045
457219.4106,657119.4152,7,8,9042
450927.487,647340.1821,7,9,9044
453214.0869,649193.8118,7,13,9044
453709.6778,649410.584,7,14,9044
457120.7311,657028.5535,7,15,9042
455884.4858,656736.541,1,4,9044
457818.2681,652215.7266,2,15,9042
458578.7901,653508.878,3,11,9044
455596.3848,651621.1542,3,19,9041
457054.6849,653997.8028,3,20,9046
455360.7369,659533.0552,4,11,9041
458068.4563,652136.4712,4,11,9045
454810.7974,650709.9001,4,12,9043
459040.9931,653461.4432,4,13,9042
457853.7678,652028.0442,4,18,9042
455991.428,659652.934,4,20,9041
456594.5083,651510.6428,4,21,9042
455600.569,651675.5474,4,21,9043
453549.1787,649436.3891,4,21,9042
451410.3924,647714.6487,4,21,9041
458138.989,657349.8072,5,1,9043
450437.0928,647251.059,5,22,9044
451630.7657,647724.2763,6,0,9042
546025.6819,682557.0365,6,1,9043
511845.5607,678299.3381,6,2,9041
537208.8684,681212.0962,6,16,9043
450991.4601,647715.3412,6,20,9042
544401.312,679437.7545,7,1,9044
458076.9204,651016.2865,7,4,9044
451251.944,647576.1298,7,13,9042
458054.1974,652458.4486,7,15,9043
