LATITUD;LONGITUD;DIA_SEMANA;MES_LARGO;DESCRIPCION_CONDUCTA;;;
4.138.148.139;-7.360.878.827;1;4;2395;;;4.138.148.139,-7.360.878.827,4,2395
4.139.763.054;-7.359.391.949;6;12;2395;;;4.139.763.054,-7.359.391.949,12,2395
4.146.629.729;-736.125.599;2;7;2395;;;4.146.629.729,-736.125.599,7,2395
4.079.635.406;-736.875.261;2;9;2395;;;4.079.635.406,-736.875.261,9,2395
4.122.155.296;-7.362.159.564;1;2;2395;;;4.122.155.296,-7.362.159.564,2,2395
4.134.383.177;-7.361.581.456;6;8;2395;;;4.134.383.177,-7.361.581.456,8,2395
4.140.679.612;-7.358.552.325;5;6;2395;;;4.140.679.612,-7.358.552.325,6,2395
4.144.977.013;-7.360.950.601;7;12;2395;;;4.144.977.013,-7.360.950.601,12,2395
4.146.187.967;-7.360.812.641;3;5;2395;;;4.146.187.967,-7.360.812.641,5,2395
415.338.497;-7.361.857.145;2;2;2395;;;415.338.497,-7.361.857.145,2,2395
4.126.849.622;-7.363.844.661;7;7;2395;;;4.126.849.622,-7.363.844.661,7,2395
4.140.647.587;-735.851.465;5;3;2396;;;4.140.647.587,-735.851.465,3,2396
4.147.556.587;-736.201.347;5;8;2395;;;4.147.556.587,-736.201.347,8,2395
4.256.154.508;-7.356.988.174;6;4;2393;;;4.256.154.508,-7.356.988.174,4,2393
4.260.198.813;-7.356.818.658;2;5;2394;;;4.260.198.813,-7.356.818.658,5,2394
4.124.730.891;-7.354.687.106;1;2;2691;;;4.124.730.891,-7.354.687.106,2,2691
4.156.747.776;-7.364.041.578;5;11;2396;;;4.156.747.776,-7.364.041.578,11,2396
4.158.857.839;-7.363.746.601;2;2;2393;;;4.158.857.839,-7.363.746.601,2,2393
3.989.100.651;-7.376.959.858;1;1;2395;;;3.989.100.651,-7.376.959.858,1,2395
4.153.816.255;-7.363.514.956;2;2;2395;;;4.153.816.255,-7.363.514.956,2,2395
4.125.514.508;-7.362.779.881;6;3;2396;;;4.125.514.508,-7.362.779.881,3,2396
4.130.086.747;-7.359.048.646;4;1;2396;;;4.130.086.747,-7.359.048.646,1,2396
4.141.381.545;-7.360.695.254;5;5;2396;;;4.141.381.545,-7.360.695.254,5,2396
3.988.418.238;-7.376.680.223;3;7;2395;;;3.988.418.238,-7.376.680.223,7,2395
3.999.838.533;-7.376.211.286;1;7;2395;;;3.999.838.533,-7.376.211.286,7,2395
3.978.357.926;-7.376.070.738;4;11;2395;;;
3.991.274.515;-73.757;6;3;2395;;;
399.144.757;-7.376.527.787;5;10;2395;;;
400.735.522;-7.377.141.476;6;3;2395;;;
4.130.148.961;-7.361.726.771;6;2;2396;;;
4.264.414.283;-7.356.486.064;4;6;2396;;;
4.126.478.157;-73.638.785;3;5;2395;;;
4.129.874.815;-7.363.797.884;6;7;2395;;;
4.139.415.588;-7.363.439.691;3;5;2395;;;
4.143.856.512;-7.363.452.436;2;7;2395;;;
4.146.902.915;-7.361.843.355;3;7;2396;;;
4.152.080.941;-7.363.703.214;3;7;2395;;;
4.115.251.139;-7.360.873.744;1;4;2395;;;
4.146.079.811;-7.362.996.146;3;8;2395;;;
4.144.436.472;-7.362.749.902;7;4;2396;;;
4.098.555.701;-736.405.338;7;8;2396;;;
41.104.038;-7.366.216.532;4;8;2396;;;
4.134.612.429;-7.362.940.195;5;8;2691;;;
4.136.571.215;-7.361.826.641;4;7;2395;;;
4.138.822.803;-7.363.857.292;4;8;2395;;;
4.141.396.443;-7.362.471.939;3;8;2395;;;
4.155.824.969;-7.363.473.708;3;8;2395;;;
4.058.445.859;-7.367.250.573;6;10;2395;;;
4.071.890.373;-7.367.046.725;1;2;2395;;;
4.077.667.568;-7.366.948.748;1;6;2395;;;
4.119.379.007;-7.362.440.298;1;8;2395;;;
4.119.498.295;-7.363.272.513;7;6;2396;;;
4.119.970.813;-7.362.877.773;6;9;2395;;;
41.212.906;-7.362.535.039;2;6;2395;;;
