LATITUD; LONGITUD;DIA_SEMANA;DESCRIPCION_CONDUCTA
3.990646197;-73.78047108;6;2395
3.986985891;-73.76377271;5;2395
3.986261602;-73.76736071;1;2691
4.269619699;-73.4865435;1;2395
4.210927462;-73.58576042;7;2395
4.242694736;-73.56189948;1;2393
4.263964919;-73.56260759;2;2396
4.253137314;-73.56535417;6;2393
4.261140341;-73.56505376;5;2395
4.262339297;-73.56333877;7;2395
4.26359489;-73.56648808;6;2395
4.263658282;-73.55546218;6;2395
4.141943944;-73.62644962;4;2396
4.154350835;-73.62574947;4;2395
4.177730354;-73.61422077;7;2395
4.130502988;-73.62007179;2;2395
4.135352011;-73.62976128;6;2396
4.146695496;-73.61306704;4;2395
4.150457154;-73.61414678;3;2395
4.163892822;-73.66470058;6;2396
4.152882171;-73.63617468;6;2395
4.15349858;-73.63621239;2;2395
4.141161025;-73.623904;5;2396
4.14595243;-73.64198089;3;2691
4.08091514;-73.67012565;1;2396
4.104901814;-73.66434834;2;2396
4.108136906;-73.65174513;6;2395
4.120001015;-73.56355563;1;2395
4.121201678;-73.6334635;7;2395
4.126512528;-73.6379397;6;2395
4.129300225;-73.6307652;4;2395
4.130150657;-73.61747248;5;2395
4.130492804;-73.63085781;5;2395
4.131130205;-73.63213858;3;2395
4.132157383;-73.56238496;5;2395
4.135108482;-73.63506231;4;2395
4.135337539;-73.63205894;1;2396
4.136231385;-73.6233388;6;2395
4.138675273;-73.61504259;2;2396
4.141902706;-73.64118183;1;2395
4.142055126;-73.63625678;7;2395
4.142894438;-73.58461903;2;2396
4.146964344;-73.61769511;6;2395
4.147926887;-73.61978299;2;2395
4.14815286;-73.63881543;3;2393
4.150409704;-73.62059471;3;2395
4.150598747;-73.61341187;1;2395
4.150649303;-73.63463054;5;2395
4.15284776;-73.63848263;4;2395
4.153436639;-73.63345753;1;2395
4.159479707;-73.6407273;2;2395
4.162674756;-73.65172219;3;2395
4.132296495;-73.62544906;3;2393
4.106496099;-73.59820854;4;2396
4.134705916;-73.63909614;3;2395
4.152931173;-73.63752098;1;2691
4.155793579;-73.63475797;7;2396
4.080020666;-73.69692456;5;2396
4.131824656;-73.6103005;6;2395
4.135048773;-73.63700401;3;2393
4.139251728;-73.63668084;1;2395
4.141948689;-73.63960039;1;2395
4.142312516;-73.63579166;6;2395
4.264542673;-73.55305892;7;2395
4.058745513;-73.67405069;7;2395
4.098427792;-73.64921762;6;2395
4.138148139;-73.60878827;1;2395
4.139763054;-73.59391949;6;2395
4.146629729;-73.6125599;2;2395
4.079635406;-73.6875261;2;2395
4.122155296;-73.62159564;1;2395
4.134383177;-73.61581456;6;2395
4.140679612;-73.58552325;5;2395
4.144977013;-73.60950601;7;2395
4.146187967;-73.60812641;3;2395
4.15338497;-73.61857145;2;2395
4.126849622;-73.63844661;7;2395
4.140647587;-73.5851465;5;2396
4.147556587;-73.6201347;5;2395
4.256154508;-73.56988174;6;2393
4.260198813;-73.56818658;2;2394
4.124730891;-73.54687106;1;2691
4.156747776;-73.64041578;5;2396
4.158857839;-73.63746601;2;2393
3.989100651;-73.76959858;1;2395
4.153816255;-73.63514956;2;2395
4.125514508;-73.62779881;6;2396
4.130086747;-73.59048646;4;2396
4.141381545;-73.60695254;5;2396
3.988418238;-73.76680223;3;2395
3.999838533;-73.76211286;1;2395
3.978357926;-73.76070738;4;2395
3.991274515;-73.757;6;2395
3.99144757;-73.76527787;5;2395
